"tod","dotw","occupancy"
"afternoon",1,0.0160087629513629
"afternoon",2,0.208367002037344
"afternoon",3,0.238426887396518
"afternoon",4,0.242223831574606
"afternoon",5,0.242732038299922
"afternoon",6,0.274125849103734
"afternoon",7,0.242191242609147
"midday",1,0.0280346797697149
"midday",2,0.340634531893585
"midday",3,0.388011277548627
"midday",4,0.395716575767338
"midday",5,0.38501148336047
"midday",6,0.430715486264649
"midday",7,0.375985008612006
"morning",1,0.0171920513553187
"morning",2,0.295110902336399
"morning",3,0.347427303051307
"morning",4,0.338278635282219
"morning",5,0.330541441945495
"morning",6,0.36296870133274
"morning",7,0.284269047994431
